timestamp,roll_deg,pitch_deg,yaw_deg,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1785748594.720298,78.0373,-4.1438,-16.7732,-0.843372,-2.363403,8.884825,0.027587,-0.013723,-0.058822
1785748594.821511,77.9299,-4.1123,-16.2020,-0.843372,-2.363403,8.884825,0.298437,-0.017149,-0.041079
1785748594.920344,77.1416,-3.9518,-10.3558,-0.843372,-2.363403,8.884825,1.636174,-0.089768,0.068781
1785748595.020379,74.9152,-3.8477,6.3866,-0.843372,-2.363403,8.884825,4.139358,0.010434,0.614559
1785748595.120605,73.7555,-1.6345,23.1117,-0.843372,-2.363403,8.884825,2.480412,-0.688456,0.579459
1785748595.220261,73.3333,1.2738,36.2752,-0.019613,3.550007,6.570456,2.870072,-0.458425,0.529677
1785748595.319901,72.5996,4.2816,44.9835,-0.019613,3.550007,6.570456,1.733045,-0.122710,0.612799
1785748595.420329,71.0916,6.8382,49.1185,-0.019613,3.550007,6.570456,0.761150,0.195502,0.476368
1785748595.520443,69.3428,8.5796,49.3981,-0.019613,3.550007,6.570456,0.441129,0.108139,-0.093598
1785748595.620009,69.6853,8.0476,49.0780,-0.019613,3.550007,6.570456,-0.085066,-0.173900,-0.260535
1785748595.720067,70.5602,6.7906,46.8927,1.274865,7.766867,5.442691,-0.356494,-0.011837,-0.389771
1785748595.823012,76.4361,2.7504,37.1959,1.274865,7.766867,5.442691,-2.417648,-0.106170,-1.893646
1785748595.920304,81.1809,1.7821,21.8840,1.274865,7.766867,5.442691,-1.957334,-0.017213,1.405140
1785748596.020113,67.0732,5.1994,16.7162,1.274865,7.766867,5.442691,-0.414640,0.053372,2.916652
1785748596.120353,49.7224,7.5840,13.6879,1.274865,7.766867,5.442691,-0.163002,0.719629,3.040529
1785748596.219965,33.6080,6.0254,9.2916,0.735499,0.931632,9.149604,-0.666766,1.260582,3.319889
1785748596.320251,15.3778,3.7845,8.7333,0.735499,0.931632,9.149604,0.039091,1.094960,2.774152
1785748596.420376,-0.1004,0.9964,9.4877,0.735499,0.931632,9.149604,0.680202,0.680923,2.340577
1785748596.520206,-12.2142,-1.3444,10.8626,0.735499,0.931632,9.149604,0.279276,0.551471,2.121093
1785748596.620075,-23.3063,-1.8429,10.3429,0.735499,0.931632,9.149604,-0.177011,0.320269,1.224831
1785748596.720245,-23.5839,-2.5314,10.0299,-1.137571,-0.333426,9.404577,0.075831,-0.124866,-0.130992
1785748596.821912,-22.5625,-2.1124,9.7475,-1.137571,-0.333426,9.404577,-0.075178,-0.187987,-0.183789
1785748596.919961,-11.8632,-2.1010,8.3551,-1.137571,-0.333426,9.404577,-0.422763,-0.844653,-3.941097
1785748597.020275,23.8521,-1.1612,2.3587,-1.137571,-0.333426,9.404577,-1.289811,-0.372337,-7.096863
1785748597.119972,62.4287,2.2319,-4.5581,-1.137571,-0.333426,9.404577,-2.086618,0.302155,-5.278710
1785748597.220055,78.6256,9.3369,-3.5524,-1.902490,-0.088260,10.934415,0.134786,-0.832655,-1.011454
1785748597.320118,95.5791,9.8256,-0.6268,-1.902490,-0.088260,10.934415,-0.160613,0.633291,-4.003647
1785748597.419938,118.5576,14.5721,2.2413,-1.902490,-0.088260,10.934415,-1.009406,-0.865252,-3.573172
1785748597.519884,139.7490,15.7779,5.6099,-1.902490,-0.088260,10.934415,-0.705533,-0.480471,-2.887066
1785748597.620071,154.5474,14.0579,10.0663,-1.902490,-0.088260,10.934415,0.389780,-0.137561,-1.938245
1785748597.720143,167.0791,15.0998,15.9063,3.079288,1.412158,11.454167,0.874485,0.512637,-2.065130
1785748597.820073,174.7642,11.5580,21.5634,3.079288,1.412158,11.454167,0.158531,0.402633,-0.407815
1785748597.920105,164.2748,15.7594,20.0711,3.079288,1.412158,11.454167,-0.101699,0.336658,2.912461
1785748598.019975,138.4926,15.4162,11.3084,3.079288,1.412158,11.454167,-0.752757,0.943071,5.165687
1785748598.120214,96.2092,12.5803,0.9978,3.079288,1.412158,11.454167,-1.477472,-0.260019,5.560074
1785748598.220190,74.0267,8.2232,6.6496,-0.313813,-6.364516,9.277091,1.103910,1.102746,3.099249
1785748598.319922,65.7579,3.8655,7.7213,-0.313813,-6.364516,9.277091,-1.023310,0.109028,0.864644
1785748598.420063,70.4417,-1.1601,-1.2752,-0.313813,-6.364516,9.277091,-1.578891,2.269294,-0.578392
1785748598.520248,72.6382,-3.7667,-3.2751,-0.313813,-6.364516,9.277091,0.044636,1.265502,-0.460117
